2025_03_29__14:06:45.917920: CONFIG: VISUALIZE: True, CAMERA_MODE: image, COMM_MODE: off, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2025_03_29__14:06:56.508808: Iter 70, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.949891495231979, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:56.620424: Iter 71, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.947333166942917, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:56.732839: Iter 72, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.964850671460113, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:56.842731: Iter 73, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.896170088212898, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:56.954968: Iter 74, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.100326320905367, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:57.069999: Iter 75, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.910211798695643, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:57.182718: Iter 76, FPS: 8.7, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.693704879024486, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:57.292449: Iter 77, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.872552503765379, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:57.403922: Iter 78, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.113396417047813, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:57.518544: Iter 79, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.971581356548523, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
